105學年度全國大學校院及校長名錄,,,,,,,,,,,
匯出時間:106.02.18,,,,,,,,,,,
序號,學校代碼,學校名稱,學校英文名稱,職稱,姓名,郵遞區號,地址,學校總機,學校傳真,網址,
37,0039,國立臺中教育大學,National Taichung University of Education,校長,王如哲,40306,臺中市西區民生路140號,04-2218-3199,04-2218-3180,http://www.ntcu.edu.tw,
38,0042,國立澎湖科技大學,National Penghu University of Science and Technology,校長,王瑩瑋,88046,澎湖縣馬公市六合路300號,06-926-4115,06-926-4265,http://www.npu.edu.tw,
39,0043,國立勤益科技大學,National Chin-Yi University of Technology,校長,趙敏勳,41170,臺中市太平區坪林里中山路二段57號,04-2392-4505,04-2393-0062,http://web2.ncut.edu.tw/bin/home.php,
40,0044,國立體育大學,National Taiwan Sport University,校長,高俊雄,33301,桃園市龜山區文化一路250號,03-328-3201,03-328-4047,http://www.ntsu.edu.tw,
41,0046,國立臺北護理健康大學,National Taipei University of Nursing and Health Sciences,校長,謝楠楨,11219,臺北市北投區明德路365號,02-2822-7101,02-2822-9389,http://www.ntunhs.edu.tw,
42,0047,國立高雄餐旅大學,National Kaohsiung University of Hospitality and Tourism,校長,林玥秀,81271,高雄市小港區松和路1號,07-806-0505,07-806-1473,http://www.nkuht.edu.tw,
43,0048,國立金門大學,National Quemoy University,校長,黃奇,89250,金門縣金寧鄉大學路1號,082-313-300,082-313-304,http://www.nqu.edu.tw,
44,0049,國立臺灣體育運動大學,National Taiwan University of Sport,校長,林華韋,40404,臺中市北區雙十路1段16號,04-2221-3108#2002,04-2223-2463,http://www.ntupes.edu.tw,
45,0050,國立臺中科技大學,National  Taichung University Of  Science And Technology,校長,謝俊宏,40401,臺中巿北區三民路三段129號,04-2219-5678,04-2219-5011,http://www.nutc.edu.tw/,
46,0051,國立臺北商業大學,National Taipei University of  Business,校長,張瑞雄,10051,臺北市中正區濟南路一段321號,02-3322-2777,02-2322-6109,http://www.ntub.edu.tw,
47,0052,國立屏東大學,National Pingtung University,校長,古源光,90003,屏東市民生路4-18號,08-766-3800,08-723-4406,http://www.nptu.edu.tw,
48,0144,國立臺灣戲曲學院,National Taiwan College of Performing Arts,校長,張瑞濱,11464,臺北市內湖區內湖路二段177號,02-2796-2666,02-2794-1529,http://www.tcpa.edu.tw,
49,0A01,國立空中大學,National Open University,校長,陳松柏,24701,新北市蘆洲區中正路 172 號,02-2282-9355,02-8281-3274,http://www.nou.edu.tw/,
50,1001,東海大學,Tunghai University,校長,王茂駿,40704,臺中市西屯區臺灣大道4段1727號,04-2359-0121#30009,04-2350-0847,http://www.thu.edu.tw,
51,1002,輔仁大學,Fu Jen Catholic University,校長,江漢聲,24205,新北市新莊區中正路510號,02-2905-2000,02-2903-9809,http://www.fju.edu.tw,
52,1003,東吳大學,Soochow University,校長,潘維大,11102,臺北市士林區臨溪路70號,02-2881-9471#9,02-2881-0356,http://www.scu.edu.tw,
53,1004,中原大學,Chung Yuan Christian University,校長,張光正,32023,中壢區中北路200號,03-265-9999,03-265-8888,http://www.cycu.edu.tw,
54,1005,淡江大學,Tamkang University,校長,張家宜,25137,新北市淡水區英專路151號,02-2621-5656#2356,02-2622-3204,http://www.tku.edu.tw,
55,1006,中國文化大學,Chinese Culture University,校長,李天任,11114,臺北市士林區華岡路55號,02-2861-0511,02-2861-5031,http://www.pccu.edu.tw,
56,1007,逢甲大學,Feng Chia University,校長,李秉乾,40724,臺中市西屯區文華路100號,04-2451-7250,04-2451-0081,http://www.fcu.edu.tw/wSite/mp?mp=1,
57,1008,靜宜大學,PROVIDENCE UNIVERSITY,校長,唐傳義,43301,臺中市沙鹿區中棲路200號(臺中市沙鹿區臺灣大道7段200號),04-2632-8001#11003,04-2631-1170,http://www.pu.edu.tw,
58,1009,長庚大學,Chang Gung University,校長,包家駒,33302,桃園市龜山區文化一路259號,03-211-8800,03-211-8700,http://www.cgu.edu.tw,
59,1010,元智大學,Yuan Ze University,校長,吳志揚,32003,桃園市中壢區遠東路135號,03-463-8800,03-463-8900,http://www.yzu.edu.tw,
60,1011,中華大學,Chung Hua University,校長,鄭藏勝,30012,新竹市東香里六鄰五福路2段707號,03-537-4281,03-537-3771,http://www.chu.edu.tw,
61,1012,大葉大學,Da-Yeh University,校長,歐嘉瑞,51591,彰化縣大村鄉學府路168號,04-851-1888#1006,04-851-1666,http://www.dyu.edu.tw,
62,1013,華梵大學,Huafan University,校長,高柏園,22301,新北市石碇區華梵路1號,02-2663-2102,02-2663-3234,http://www.hfu.edu.tw,
63,1014,義守大學,I-Shou University,校長,蕭介夫,84001,高雄市大樹區學城路1段1號,07-657-7711,07-657-7056,http://www.isu.edu.tw,
64,1015,世新大學,Shih Hsin University,校長,吳永乾,11604,臺北市文山區木柵路1段17巷1號,02-2236-8225,02-2236-5133,http://www.shu.edu.tw,
65,1016,銘傳大學,Ming Chuan University,校長,李  銓,11103,臺北市士林區中山北路5段250號,02-2882-4564,02-2882-0521,http://www.mcu.edu.tw,
66,1017,實踐大學,Shih Chien University,校長,陳振貴,10462,臺北市中山區大直街70號,02-2538-1111,02-2533-6293,http://www.usc.edu.tw,
67,1018,朝陽科技大學,Chaoyang University of Technology,校長,鄭道明,41349,臺中市霧峰區吉峰東路168號,04-2332-3000,04-2332-9898,http://www.cyut.edu.tw/,
